date,price
2021-05-08,938700.0
2021-05-09,968500.0
2021-05-11,985300.0
2021-05-12,994300.0
2021-05-15,1028700.0
2021-05-16,1014200.0
2021-05-17,1029000.0
2021-05-18,1015600.0
2021-05-19,1019300.0
2021-05-20,1019300.0
2021-05-22,1029200.0
2021-05-23,1036800.0
2021-05-24,1032900.0
2021-05-25,1044200.0
2021-05-26,1046700.0
2021-05-27,1046700.0
2021-05-29,1080000.0
2021-05-30,1100300.0
2021-05-31,1098000.0
2021-06-01,1096400.0
2021-06-02,1079300.0
2021-06-03,1079300.0
2021-06-07,1074700.0
2021-06-08,1083200.0
2021-06-09,1073500.0
2021-06-10,1073500.0
2021-06-12,1075800.0
2021-06-13,1068200.0
2021-06-14,1071700.0
2021-06-15,1080900.0
2021-06-16,1065400.0
2021-06-17,1065400.0
2021-06-19,1028300.0
2021-06-20,1035200.0
2021-06-21,1044000.0
2021-06-22,1038200.0
2021-06-23,1033800.0
2021-06-24,1033800.0
2021-06-26,1058500.0
2021-06-27,1065700.0
2021-06-28,1064100.0
2021-06-29,1072400.0
2021-06-30,1067800.0
2021-07-01,1067800.0
2021-07-03,1059700.0
2021-07-04,1057600.0
2021-07-05,1067300.0
2021-07-06,1060400.0
2021-07-07,1064100.0
2021-07-10,1064800.0
2021-07-11,1061300.0
2021-07-12,1053900.0
2021-07-13,1049100.0
2021-07-14,1059000.0
2021-07-15,1059000.0
2021-07-17,1050700.0
2021-07-18,1047700.0
2021-07-19,1056000.0
2021-07-20,1056000.0
2021-07-22,1053700.0
2021-07-24,1060600.0
2021-07-25,1074900.0
2021-07-26,1077500.0
2021-07-27,1095700.0
2021-07-28,1095700.0
2021-07-31,1097500.0
2021-08-01,1093800.0
2021-08-02,1099600.0
2021-08-03,1098900.0
2021-08-04,1100800.0
2021-08-05,1100800.0
2021-08-07,1086500.0
2021-08-08,1084800.0
2021-08-09,1092000.0
2021-08-10,1110200.0
2021-08-11,1107000.0
2021-08-12,1107000.0
2021-08-14,1137700.0
2021-08-15,1148800.0
2021-08-16,1144900.0
2021-08-17,1144900.0
2021-08-21,1154800.0
2021-08-22,1173300.0
2021-08-23,1175600.0
2021-08-24,1171900.0
2021-08-25,1171200.0
2021-08-26,1171200.0
2021-08-28,1182300.0
2021-08-29,1153900.0
2021-08-30,1165200.0
2021-08-31,1154300.0
2021-09-01,1161900.0
2021-09-02,1161900.0
2021-09-04,1169100.0
2021-09-05,1166100.0
2021-09-06,1168200.0
2021-09-07,1180600.0
2021-09-08,1183600.0
2021-09-09,1183600.0
2021-09-11,1157300.0
2021-09-12,1155900.0
2021-09-13,1166800.0
2021-09-14,1154600.0
2021-09-15,1151600.0
2021-09-16,1151600.0
2021-09-18,1133600.0
2021-09-19,1132200.0
2021-09-20,1142600.0
2021-09-21,1142600.0
2021-09-22,1152300.0
2021-09-23,1156200.0
2021-09-25,1141900.0
2021-09-26,1146000.0
2021-09-28,1151300.0
2021-09-29,1157300.0
2021-09-30,1164500.0
2021-10-02,1160800.0
2021-10-03,1169100.0
2021-10-04,1169100.0
2021-10-06,1159400.0
2021-10-09,1141400.0
2021-10-11,1131900.0
2021-10-12,1141400.0
2021-10-13,1141600.0
2021-10-14,1141600.0
2021-10-16,1141200.0
2021-10-17,1137000.0
2021-10-18,1147200.0
2021-10-19,1142600.0
2021-10-20,1149000.0
2021-10-21,1149000.0
2021-10-23,1162900.0
2021-10-25,1163300.0
2021-10-26,1171400.0
2021-10-27,1171600.0
2021-10-28,1171600.0
2021-10-30,1168400.0
2021-10-31,1171600.0
2021-11-01,1168400.0
2021-11-02,1171600.0
2021-11-03,1168400.0
2021-11-04,1168400.0
2021-11-06,1201400.0
2021-11-07,1203700.0
2021-11-08,1214600.0
2021-11-09,1252000.0
2021-11-10,1263800.0
2021-11-11,1263800.0
2021-11-13,1270200.0
2021-11-14,1260800.0
2021-11-15,1255000.0
2021-11-16,1249400.0
2021-11-17,1240400.0
2021-11-18,1240400.0
2021-11-20,1239500.0
2021-11-21,1252000.0
2021-11-22,1235800.0
2021-11-23,1252400.0
2021-11-24,1250400.0
2021-11-25,1250400.0
2021-11-27,1257300.0
2021-11-28,1269500.0
2021-11-29,1251100.0
2021-11-30,1261500.0
2021-12-01,1258900.0
2021-12-02,1258900.0
2021-12-04,1304400.0
2021-12-05,1319400.0
2021-12-06,1316900.0
2021-12-07,1309500.0
2021-12-08,1306700.0
2021-12-09,1306700.0
2021-12-11,1293300.0
2021-12-12,1286800.0
2021-12-13,1297900.0
2021-12-14,1292200.0
2021-12-15,1299100.0
2021-12-16,1299100.0
2021-12-18,1281500.0
2021-12-19,1286200.0
2021-12-20,1297200.0
2021-12-21,1300500.0
2021-12-22,1301900.0
2021-12-23,1301900.0
2021-12-25,1297900.0
2021-12-26,1293500.0
2021-12-27,1287300.0
2021-12-28,1287800.0
2021-12-29,1297500.0
2021-12-30,1297500.0
2022-01-01,1293800.0
2022-01-02,1280800.0
2022-01-03,1266800.0
2022-01-04,1265400.0
2022-01-05,1265400.0
2022-01-09,1198400.0
2022-01-10,1225400.0
2022-01-11,1210900.0
2022-01-12,1227500.0
2022-01-13,1227500.0
2022-01-15,1197700.0
2022-01-16,1185500.0
2022-01-17,1191700.0
2022-01-18,1210000.0
2022-01-19,1218000.0
2022-01-20,1218000.0
2022-01-22,1234900.0
2022-01-23,1241600.0
2022-01-24,1239700.0
2022-01-25,1238100.0
2022-01-26,1232400.0
2022-01-27,1232400.0
2022-01-29,1227700.0
2022-01-30,1216700.0
2022-01-31,1216900.0
2022-02-01,1208800.0
2022-02-02,1210900.0
2022-02-03,1210900.0
2022-02-05,1184800.0
2022-02-06,1177600.0
2022-02-07,1155500.0
2022-02-08,1165600.0
2022-02-09,1163600.0
2022-02-10,1163600.0
2022-02-12,1217600.0
2022-02-13,1212000.0
2022-02-16,1204900.0
2022-02-19,1173000.0
2022-02-20,1174900.0
2022-02-21,1188500.0
2022-02-22,1190800.0
2022-02-23,1230100.0
2022-02-24,1230100.0
2022-02-26,1202100.0
2022-02-27,1203000.0
2022-02-28,1203000.0
2022-03-02,1200000.0
2022-03-03,1200000.0
2022-03-05,1196600.0
2022-03-06,1208600.0
2022-03-07,1248100.0
2022-03-08,1223800.0
2022-03-09,1217800.0
2022-03-10,1217800.0
2022-03-12,1238400.0
2022-03-13,1230100.0
2022-03-14,1224100.0
2022-03-15,1215700.0
2022-03-16,1229100.0
2022-03-17,1229100.0
2022-03-18,1233130.0
2022-03-26,1245100.0
2022-03-27,1244800.0
2022-03-28,1249400.0
2022-03-29,1257100.0
2022-03-30,1257800.0
2022-03-31,1257800.0
2022-04-03,1275800.0
2022-04-04,1294000.0
2022-04-05,1280200.0
2022-04-06,1287800.0
2022-04-07,1287800.0
2022-04-09,1321000.0
2022-04-10,1318200.0
2022-04-11,1324200.0
2022-04-12,1314800.0
2022-04-13,1306900.0
2022-04-14,1306900.0
2022-04-16,1316600.0
2022-04-17,1313600.0
2022-04-18,1299300.0
2022-04-19,1307600.0
2022-04-20,1307600.0
2022-04-24,1277800.0
2022-04-25,1286200.0
2022-04-26,1292400.0
2022-04-27,1294900.0
2022-04-28,1294900.0
2022-04-30,1296500.0
2022-05-01,1292200.0
2022-05-02,1292200.0
2022-05-05,1307200.0
2022-05-07,1311100.0
2022-05-08,1310400.0
2022-05-09,1318500.0
2022-05-11,1344100.0
2022-05-12,1395100.0
2022-05-14,1381700.0
2022-05-15,1374600.0
2022-05-16,1360000.0
2022-05-17,1350100.0
2022-05-18,1356100.0
2022-05-19,1356100.0
2022-05-21,1379700.0
2022-05-22,1378300.0
2022-05-23,1379400.0
2022-05-24,1380100.0
2022-05-25,1388900.0
2022-05-28,1406700.0
2022-05-29,1421700.0
2022-05-30,1427000.0
2022-05-31,1447300.0
2022-06-01,1430400.0
2022-06-02,1430400.0
2022-06-06,1442000.0
2022-06-07,1442900.0
2022-06-08,1487000.0
2022-06-09,1440800.0
2022-06-11,1508200.0
2022-06-12,1471500.0
